FRED Graph Observations,,,,,,,,,,,,,,,,
Federal Reserve Economic Data,,,,,,,,,,,,,,,,
Link: https://fred.stlouisfed.org,,,,,,,,,,,,,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,,,,,,,,,,,,,
Economic Research Division,,,,,,,,,,,,,,,,
Federal Reserve Bank of St. Louis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,
observation_date,"Russell 1000? Total Market Index, Index, Annual, Not Seasonally Adjusted","Russell 2000? Total Market Index, Index, Annual, Not Seasonally Adjusted","BofA Merrill Lynch US Corp Master Total Return Index Value, Index, Annual, Not Seasonally Adjusted","BofA Merrill Lynch US High Yield Total Return Index Value, Index, Annual, Not Seasonally Adjusted","3-Month Treasury Bill: Secondary Market Rate, Percent, Annual, Not Seasonally Adjusted","Consumer Price Index for All Urban Consumers: All Items, Index 1982-1984=100, Annual, Seasonally Adjusted",EAFE Standard (Large+Mid Cap) ,EM (EMERGING MARKETS) Standard (Large+Mid Cap) ,"Russell 1000? Total Market Index, Index, Annual, Not Seasonally Adjusted","Russell 2000? Total Market Index, Index, Annual, Not Seasonally Adjusted","BofA Merrill Lynch US Corp Master Total Return Index Value, Index, Annual, Not Seasonally Adjusted","BofA Merrill Lynch US High Yield Total Return Index Value, Index, Annual, Not Seasonally Adjusted","3-Month Treasury Bill: Secondary Market Rate, Percent, Annual, Not Seasonally Adjusted","Consumer Price Index for All Urban Consumers: All Items, Index 1982-1984=100, Annual, Seasonally Adjusted",EAFE Standard (Large+Mid Cap) ,EM (EMERGING MARKETS) Standard (Large+Mid Cap) 
1987,378.08,382.17,357.67,108.61,5.77,115.600,212.31,100,,,,,,,,
1988,443.32,477.78,392.57,123.12,8.07,120.700,273,140.43,0.172556073,0.250176623,0.097575978,0.133597275,0.0807,0.044117647,0.285855589,0.4043
1989,578.22,555.48,447.98,125.96,7.63,126.300,302.48,231.65,0.304294866,0.162627151,0.141146802,0.023066927,0.0763,0.046396023,0.107985348,0.649576301
1990,553.88,447.29,481.00,120.47,6.74,134.200,232.32,207.21,-0.042094704,-0.194768489,0.073708648,-0.043585265,0.0674,0.062549485,-0.23194922,-0.105503993
1991,736.87,653.24,568.73,167.66,4.07,138.200,261.35,331.35,0.330378421,0.460439536,0.182390852,0.39171578,0.0407,0.029806259,0.124956956,0.59910236
1992,802.68,773.50,620.59,196.90,3.22,142.300,230.38,369.13,0.08931019,0.184097728,0.091185624,0.174400573,0.0322,0.029667149,-0.118500096,0.11401841
1993,884.37,919.53,697.73,229.78,3.06,146.300,306.28,645.38,0.101771565,0.188791209,0.124301068,0.166988319,0.0306,0.028109628,0.329455682,0.748381329
1994,887.81,902.76,674.41,227.40,5.60,150.100,330.97,598.16,0.003889775,-0.018237578,-0.033422671,-0.010357733,0.056,0.025974026,0.080612511,-0.073166197
1995,1223.11,1159.60,819.75,273.93,5.14,153.900,369.21,567.01,0.377670898,0.284505295,0.215506888,0.204617414,0.0514,0.025316456,0.115539173,-0.052076368
1996,1497.66,1350.87,847.54,304.80,4.91,159.100,392.69,601.21,0.224468772,0.164944809,0.033900579,0.112693024,0.0491,0.033788174,0.063595244,0.060316397
